Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;Class
67505;-0,908714619;-0,273556124;2,643187158;-1,732157232;-0,866735119;1,437258815;-1,003704085;0,745157805;0,225299695;-0,050292991;-0,459949215;-0,682328457;-1,479197091;-1,16224908;-2,172002412;0,910979509;0,457351417;-0,784293651;0,73872162;0,076735779;0,162490872;0,737035201;-0,475056141;-0,841151849;0,506416572;-0,05366977;0,213127566;0,101336314;1;-1
157115;-1,020535581;-0,74452172;0,352832618;-2,936340697;-0,403935741;-0,351047769;-0,603721122;0,479324786;-2,001949271;0,484735855;-1,803200784;-1,108355731;0,512122615;-0,354131197;-0,75064092;-0,100668112;0,223823169;0,202305501;-0,768306829;-0,088019001;-0,04629804;-0,022696436;0,004893386;0,236850428;-0,032750728;-0,277314585;0,247504641;0,065247635;63,6;-1
144278;-1,618141175;-0,422417506;1,643695641;-2,166877284;-1,203673728;0,851729822;0,122340703;0,510781726;-0,486366929;-0,287954224;0,322017062;-0,063010679;-0,408904728;-0,800174122;-2,063648374;1,276699342;0,137854891;-1,030412839;0,544835332;0,1514501;-0,051077983;-0,037724548;-0,250580096;0,711434888;0,486440802;-0,396706812;-0,003834811;-0,311759535;200;-1
71383;-0,941171497;-0,043673401;1,454312436;1,237969375;0,816330927;-1,614714102;0,087539188;-0,056763723;-0,474903473;-0,109150545;-0,393726263;-0,40691417;-0,869482198;0,58272219;1,120082529;-0,403818964;-0,001262833;0,142844992;0,321275831;0,2087024;0,256586768;0,43819556;0,093616065;0,700842839;-0,283862845;-0,352399878;0,130005608;0,186294867;13,9;-1
121515;-2,485649784;0,327691686;-0,520320522;-0,663913077;3,157155549;0,115183772;1,267578305;-0,566701025;-0,550706033;0,543287737;1,429283467;0,85512294;0,284184454;0,41617152;0,208525404;-2,020787228;0,342472238;-1,358312019;0,041217773;-0,787642519;0,268403919;1,401654919;-1,200417356;-1,342514801;1,245420441;0,313657431;-1,252442316;0,344382829;1;-1
165922;-1,51163325;1,681273761;1,452130693;1,227812301;-0,768121209;-0,150725263;-0,065916144;0,93663624;-0,303557969;-0,848222281;-1,153440997;0,807325466;0,037932545;0,244013008;-0,896005697;-0,871391736;0,893419902;-0,784526289;1,087443127;-0,109441372;-0,431710241;-1,184930095;-0,01622925;0,336418981;0,36527494;-0,814692577;-0,015218593;0,012342779;11,96;-1
64246;1,01841182;1,036663009;-1,689813707;1,315475833;1,698436056;0,528806549;0,331714502;0,364538762;-0,711797939;-1,57028828;3,463017821;0,538411363;-0,378095385;-3,04549518;1,468911143;-0,029741514;3,664588481;-0,105189589;-2,097944321;-0,167555416;-0,040237593;0,096171574;-0,09254897;-1,345663706;0,510304957;-0,182673523;0,107058302;0,071818003;0,89;-1
159003;2,011657692;0,056237959;-1,622573957;0,342161305;0,357232738;-0,59024311;0,024079072;-0,035714466;0,324896562;-0,197482474;1,223476498;0,547908304;-0,744199328;-0,494593395;-0,385458521;0,434412136;0,383301379;0,124863044;0,208159591;-0,202616247;-0,303694005;-0,831686544;0,365088197;0,591376106;-0,350107471;0,150644752;-0,067462959;-0,040993055;0,99;-1
76437;1,266363958;-0,319223115;0,002934963;-1,967441959;-0,896307342;-1,879787128;0,170000943;-0,447431574;1,57747105;-1,521940189;0,418796976;1,415983192;0,850198831;0,271071188;1,892864737;-1,136943937;0,007467113;-0,074602248;0,880676534;0,008864616;0,145043421;0,593064981;-0,179474096;0,780935676;0,824120875;-0,704908609;0,056521345;0,028543693;34,99;-1
85783;1,145127981;-0,833593087;0,633269088;-1,853362309;-1,451269075;-1,077070887;-0,52290354;-0,1285605;2,434532268;-1,664222205;-0,293088105;1,087728161;0,249911917;-0,186153752;1,646187184;-0,867009465;-0,019082093;0,400593037;0,987100874;0,061889903;0,192386667;0,731145217;-0,225854181;0,443980841;0,661658603;-0,64791712;0,093451803;0,044440513;76;-1
